au,af,ti,ab,so,py,vl,is,de,id,nr,tc,z9,u1,u2,pu,pi,pa,sn,ei,bn,j9,ji,pd,di,ga,ut,ty,cy
"Collom, E; Mitchell, DE","Collom, E; Mitchell, DE",Home schooling as a social movement: Identifying the determinants of homeschoolers' perceptions,"This article seeks to estimate the extent to which home schooling parents perceive themselves as social movement participants and to identify the factors contributing to such beliefs. The impact of collective action frames, feelings of efficacy, social network ties, and home schooling motivations are considered. Regression models are employed in an analysis of original survey data from an organized group of Southern California homeschoolers. Home schooling motivations are most salient in determining whether one interprets their activities as part of a larger movement. Social network tie indicators are largely unimportant in the models. The findings highlight the important role of organizational affiliation and integration. Homeschoolers without affiliations and those who are less integrated into their support organizations are not likely to feel as if they are part of a larger movement. Organizational integration - specifically attitudinal affinity - also appears to make home schooling parents become more narrowly focused upon their own children rather than the welfare of all children. Implications for future home schooling and social movement research are discussed.",SOCIOLOGICAL SPECTRUM,2005,25,,,RESOURCE MOBILIZATION; PARTICIPATION; NETWORKS; RECRUITMENT; ACTIVISM; PROTEST,,24,24,0,19,TAYLOR & FRANCIS INC,PHILADELPHIA,"325 CHESTNUT ST, SUITE 800, PHILADELPHIA, PA 19106 USA",0273-2173,,,SOCIOL SPECTRUM,Sociol. Spectr.,MAY-JUN,10.1080/027321790518807,924BQ,WOS:000228954000002,13,1.8461539
"Walder, AG","Walder, Andrew G.",Ambiguity and choice in political movements: The origins of Beijing Red Guard factionalism,"Theories about political movements typically posit models of actor choice that contain untested static assumptions about context. Short-run changes in these contexts - induced by rapid shifts in the properties of political institutions - can alter choices and actors' interests, rapidly transforming the political landscape. China's Red Guard Movement of 1966 - 68 is a case in point. A generation of scholarship has attributed its violent factionalism to the opposed interests of different status groups. New evidence about the origins of the movement in Beijing's universities indicates that to the contrary, factions emerged when activists in similar structural positions made opposed choices in ambiguous contexts. Activists subsequently mobilized to defend earlier choices, binding them to antagonistic factions. Rapid shifts in the contexts for political choice can alter prior connections between social position and interests, generating new motives and novel identities. Close attention to these contextual mechanisms can yield novel accounts of the nature and origins of political movements.",AMERICAN JOURNAL OF SOCIOLOGY,2006,112,,,SOCIAL-MOVEMENTS; PARIS COMMUNE; ACTIVISM; TIES; MOBILIZATION; INSURRECTION; RECRUITMENT; REBELLION; NETWORKS; ELITE,,17,17,0,14,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,NOV,10.1086/507854,120RH,WOS:000243102700002,12,1.4166666
"Soule, SA; King, BG","Soule, Sarah A.; King, Brayden G.","The stages of the policy process and the equal rights amendment, 1972-1982","Studies of how social movements impact policy outcomes typically treat policy change as a dichotomous phenomenon; a governmental unit either adopts or does not adopt a particular policy in a particular time frame. This simplistic view of the policy process runs the risk of masking how movements and other factors matter at various stages of the policy process. Each stage is characterized by different rules and different consequences; thus, movements and other factors ought to matter differently at each stage. The authors examine three stages of policy development with regard to state ratification of the Equal Rights Amendment. Results show that movements mattered more to legislative decisions in the earlier stages of the policy process, but that their effects were eclipsed in later stages by public opinion.",AMERICAN JOURNAL OF SOCIOLOGY,2006,111,,,CONTEMPORARY UNITED-STATES; HATE CRIME LAW; SOCIAL-MOVEMENTS; WELFARE-STATE; POLITICAL MEDIATION; AMERICAN STATES; NEW-DEAL; OPPORTUNITY STRUCTURES; ELECTORAL COMPETITION; PUBLIC-OPINION,,89,89,0,20,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,MAY,10.1086/499908,063CN,WOS:000238993700006,12,7.4166665
"Pedriana, N","Pedriana, Nicholas",From protective to equal treatment: Legal framing processes and transformation of the women's movement in the 1960s,"The author develops the concept of legal framing to expand theoretical knowledge on the cultural and symbolic processes that enable, constrain, and transform social movements. Merging insights from social movement theory, the sociology of law, and law and society scholarship, the author argues that law is a type of "" master frame,"" and that mobilizing law's "" constitutive"" symbols and categories is a central, yet routinely overlooked, way in which challengers frame their grievances, identity, and objectives. This study systematically explores legal framing processes through historical-narrative analysis of the women's movement and the debate over protective labor laws in the 1960s. Historical evidence suggests that reciprocal transformations in the women's movement and equal employment law were largely attributable to a symbolic framing contest between competing cultural representations of gender (""protective"" vs. ""equal"" treatment) and that this contest was waged in explicitly legal terms.",AMERICAN JOURNAL OF SOCIOLOGY,2006,111,,,CIVIL-RIGHTS-ACT; POLITICAL-PROCESS THEORY; HISTORICAL SOCIOLOGY; SOCIAL-MOVEMENTS; EMPLOYMENT OPPORTUNITY; RESOURCE MOBILIZATION; SEX-DISCRIMINATION; RATIONAL CHOICE; LAW; EXPLANATION,,60,61,1,12,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,MAY,10.1086/499911,063CN,WOS:000238993700003,12,5.0833335
"Viterna, JS","Viterna, Jocelyn S.","Pulled, pushed, and persuaded: Explaining women's mobilization into the Salvadoran guerrilla army","Using a rare representative sample of grassroots activists and nonactivists, this study identifies three paths that consistently led Salvadoran women to involvement in the FMLM guerrilla army: politicized guerillas, reluctant guerillas, and recruited guerillas. These mobilization paths arose from the patterned intersections of individual-level biographies, networks, and situational contexts. The implications of these findings extend beyond studies of revolutionary activism to analyses of microlevel mobilization in general. Activists are heterogeneous and often follow multiple paths to the same participation outcome. Capturing these multiple paths is imperative for generating theoretically sound explanations of mobilization that are also empirically effective in distinguishing activists from nonactivists.",AMERICAN JOURNAL OF SOCIOLOGY,2006,112,,,SOCIAL-MOVEMENTS; FREEDOM SUMMER; COLLECTIVE ACTION; PARTICIPATION; RECRUITMENT; MEMORY; NETWORKS; ACTIVISM; PERSPECTIVE; HISTORY,,78,79,1,17,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,JUL,10.1086/502690,074SB,WOS:000239831000001,12,6.5833335
"Luders, J","Luders, J",The economics of movement success: Business responses to civil rights mobilization,"This article explores why movements are successful in obtaining concessions from economic actors. While social movement theorists have suggested that economic actors weigh the costliness of protests, the author considers the vulnerability of movement targets to both the cost of disruptions in routine transactions and the cost of conceding to movement demands. By addressing the magnitude of these costs and their interaction, the author derives an economic opportunity structure to predict the receptivity of economic actors to movement demands and the likely struggles among them over the decision to yield. Also, this cost-assessment approach reveals patterns of vulnerability across economic sectors to the costs of disruptive mobilization. The author tests this analysis based on case studies of the responses of economic actors to civil rights mobilization in the 1960s in five Southern localities. These cases depict how the character of protest and variation in the configuration of business communities defined the range of movement outcomes from relatively swift accommodation to persistent resistance.",AMERICAN JOURNAL OF SOCIOLOGY,2006,111,,,POLITICAL OPPORTUNITY; PROTEST; MISSISSIPPI; POLICY; TRADE; SOUTH; POWER,,50,50,35,157,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,JAN,10.1086/498632,024NN,WOS:000236202300001,12,4.1666665
"Skrentny, JD","Skrentny, John D.",Policy-elite perceptions and social movement success: Understanding variations in group inclusion in affirmative action,"Using historical analysis of the inclusiveness of Labor Department affirmative action regulations for African-Americans, American Indians, Asian Americans, Latinos, women, and white ethnics, this article shows that understanding variations in social movement success requires understanding policy-elite perceptions of the meanings of social movements and the groups they represent. Variation in perceived meanings along dimensions of definition, morality, or threat helps explain the speed of group inclusion, the amount of mobilization needed, and possiblity for failure. Ethnoracial minorities benefited from perceptions of definitional and moral similarity to blacks, but elites perceived women as different definitionally and white ethnics as different definitionally and morally. Policy-elite perceptions create obstacles for some groups, forcing them to struggle longer and harder for the same policy outcome.",AMERICAN JOURNAL OF SOCIOLOGY,2006,111,,,OPPORTUNITY STRUCTURES; POLITICAL OPPORTUNITY; CIVIL-RIGHTS; CULTURE; STATE; MOBILIZATION; ORGANIZATION; EMPLOYMENT; MEDIATION; OUTCOMES,,57,57,3,31,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,MAY,10.1086/499910,063CN,WOS:000238993700004,12,4.75
"Isaac, L; McDonald, S; Lukasik, G","Isaac, Larry; McDonald, Steve; Lukasik, Greg",Takin' it from the streets: How the sixties mass movement revitalized unionization,"Was the militant zeitgeist of the ""long sixties"" social movement wave harmful, irrelevant, or revitalizing for labor militancy and union growth? The authors extend research on intermovement relations by examining the influence of ascendant militancy of the new left inspired mass movement wave on the organizational fortunes of labor. Time-series models buttressed by secondary historical evidence show that ""the movement,"" as radical flank, did stimulate a militant oppositional culture that moved from the streets into work-places. That oppositional culture was especially significant in the public sector, where it fueled union recognition strikes which, in turn, helped push the extension of collective bargaining laws in that sector, opening the door for union growth. The authors consider implications for social movement theory and labor movement revitalization.",AMERICAN JOURNAL OF SOCIOLOGY,2006,112,,,CIVIL-RIGHTS-MOVEMENT; UNITED-STATES; COLLECTIVE ACTION; LABOR MILITANCY; PUBLIC-SECTOR; HISTORICAL PROCESS; DEMONSTRATIONS; UNIONISM; PROTEST; STRIKE,,26,26,0,16,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,JUL,10.1086/502692,074SB,WOS:000239831000002,12,2.1666667
"Greve, HR; Pozner, JE; Rao, H","Greve, Henrich R.; Pozner, Jo-Ellen; Rao, Hayagreeva","Vox populi: Resource partitioning, organizational proliferation, and the cultural impact of the insurgent microradio movement","Research on social movements has emphasized the origins of cultural movements, but has said little about how they impact popular culture through the creation of new organizations. The production of culture perspective asserts that market concentration in cultural industries inhibits diversity, but is silent about how social movements challenging corporate capitalism spur organizational birth. Organizational ecology describes how market concentration triggers anti mass production movements, but has not examined whether the diversity of new organizations alters consumer behavior. The authors integrate these literatures to analyze how low-power FM (LPFM) radio stations arose in response to the domination of radio by corporate chains and investigate the impact of LPFM stations on radio listening. Implications for the study of social movements, organizational ecology, and the production of culture are outlined.",AMERICAN JOURNAL OF SOCIOLOGY,2006,112,,,SOCIAL-MOVEMENTS; UNITED-STATES; AUTOMOBILE MANUFACTURERS; INSTITUTIONAL CHANGE; JOB MOBILITY; NICHE WIDTH; INDUSTRY; MOBILIZATION; DIVERSITY; EVOLUTION,,56,56,1,13,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,,,AM J SOCIOL,Am. J. Sociol.,NOV,10.1086/507853,120RH,WOS:000243102700004,12,4.6666665
"Liu, DX","Liu, Dongxiao",When do national movements adopt or reject international agendas? A comparative analysis of the Chinese and Indian women's movements,"When do national movements adopt or reject international agendas? This question regarding the relationship between global and local thinking goes to the heart of the current globalization debates. This study examines the contrasting responses from the Chinese and Indian women movements to the agenda adopted by the United Nations Fourth World Confirence on Women. The contrast challenges the dominant assumption that global thinking can substitute for local thinking. The article shows how national movements decided for or against international agendas through context-dependent meaning-making processes. The Chinese and Indian movements drew on the international agenda to pursue similar national policy goals. Each reached its decision on the international agenda through a similar sequence of interactions with the government. However due to mediation by nationally unique combinations of political rules and policy-related timing, the two movements attached opposite meanings to the international agenda. The Chinese movement embraced the international agenda and reinterpreted it by emphasizing its difference from the government position; the Indian movement used the international agenda as a surrogate target and rejected it by emphasizing its similarities to the government position. The article also proposes an alternative conceptualization of authoritarianism and democracy that understands better international influences on social movement dynamics.",AMERICAN SOCIOLOGICAL REVIEW,2006,71,,,DIFFUSION; STATE,,16,16,2,16,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,1939-8271,,AM SOCIOL REV,Am. Sociol. Rev.,DEC,10.1177/000312240607100603,125QO,WOS:000243457300003,12,1.3333334
"Armstrong, EA; Crage, SM","Armstrong, Elizabeth A.; Crage, Suzanna M.",Movements and memory: The making of the Stonewall myth,"This article examines why the Stonewall riots became central to gay collective memory while other events did not. It does so through a comparative-historical analysis of Stonewall and four events similar to it that occurred in San Francisco, Los Angeles, and New York in the 1960s. The Stonewall riots were remembered because they were the first to meet two conditions: activists considered the event commemorable and had the mnemonic capacity to create a commemorative vehicle. That this conjuncture occurred in New York in 1969, and not earlier or elsewhere, was a result of complex political developments that converged in this time and place. The success of the national commemorative ritual planned by New York activists depended on its resonance, not only in New York but also in other US. cities. Gay community members found Stonewall commemorable and the proposed parade an appealing form for commemoration. The parade was amenable to institutionalization, leading it to survive over time and spread around the world. The Stonewall story is thus an achievement of gay liberation rather than an account of its origins.",AMERICAN SOCIOLOGICAL REVIEW,2006,71,,,COLLECTIVE MEMORY; SOCIAL-MOVEMENTS; HISTORICAL SOCIOLOGY; GAY-LIBERATION; UNITED-STATES; CIVIL-RIGHTS; EVENTS; COMMEMORATION; MOBILIZATION; EXPLANATION,,100,100,6,49,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,1939-8271,,AM SOCIOL REV,Am. Sociol. Rev.,OCT,10.1177/000312240607100502,099TQ,WOS:000241619400002,12,8.333333
"Andrews, KT; Biggs, M","Andrews, Kenneth T.; Biggs, Michael","The dynamics of protest diffusion: Movement organizations, social networks, and news media in the 1960 sit-ins","The wave of sit-ins that swept through the American South in the spring of 1960 transformed the struggle for racial equality. This episode is widely cited in the literature on social movements, but the debate over its explanation remains unresolved-partly because previous research has relied on case studies of a few large cities. The authors use event-history analysis to trace the diffusion of sit-ins throughout the South and to compare cities where sit-ins occurred with the majority of cities where they did not. They assess the relative importance of three channels of diffusion: movement organizations, social networks, and news media. The authors find that movement organizations played an important role in orchestrating protest; what mattered was a cadre of activists rather than mass membership. There is little evidence that social networks acted as a channel for diffusion among cities. By contrast, news media were crucial for conveying information about protests elsewhere. In addition, the authors demonstrate that sit-ins were most likely to occur where there were many college students, where adults in the black community had greater resources and autonomy, and where political opportunities were more favorable.",AMERICAN SOCIOLOGICAL REVIEW,2006,71,,,MOBILIZATION; INNOVATION; VIOLENCE; EVENTS; PARTICIPATION; OPPORTUNITIES; STRIKES; HISTORY; GERMANY; PARIS,,108,109,1,60,AMER SOCIOLOGICAL ASSOC,WASHINGTON,"1307 NEW YORK AVE NW #700, WASHINGTON, DC 20005-4712 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,OCT,10.1177/000312240607100503,099TQ,WOS:000241619400003,12,9.083333
"Bosi, L","Bosi, Lorenzo",The dynamics of social movement development: Northern Ireland's civil rights movement in the 1960s,"This article extends our understanding of social movement development through a qualitative longitudinal analysis of Northern Ireland's civil rights movement during the 1960s. It applies Diani's (1996) approach that links categories of master frames with political opportunity structures. The analysis chronicles how political context shaped the evolution of the moveSment's dominant message and traces how political opportunities imparted advantages to a reformist civil rights message that reflected a realignment master frame in early stages of Northern Irish mobilization. Later, changes in political context-police repression, lack of political responsiveness, and countermobilization-rendered reformist political realignments impossible and gave advantages to elements in the civil rights network that stressed the traditional ethnonational divisions and revanchist, antipartitionist messages. Specifically, this article asks how the inclusive and reformist mobilizing messages of the 1960s Northern Irish civil rights movement came about and then reverted to the exclusivist Nationalist message of the 1970s, and how the shifting political opportunities brought about these changes.",MOBILIZATION,2006,11,,,COLLECTIVE ACTION; MOBILIZATION,,26,26,2,12,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,067CB,WOS:000239277500005,12,2.1666667
"Irons, J","Irons, Jenny",Who rules the social control of protest? Variability in the state-countermovement relationship,"Drawing theoretical insight from political sociology's state-society literature and organizational theory's new institutionalism, I examine the case of the Mississippi State Sovereignty Commission and its relationship with the Citizens' Council to illustrate that the state-countermovement relationship can be highly variable - much more so than the existing literature often assumes. As different actors came to occupy positions of power within the state of Mississippi, they responded differently to relevant audiences and affected the degree to which the council could exercise leverage with the commission to control protest. The analysis focuses on how the state-countermovement ties of ideology and funding changed over time, even though membership overlap between the commission board and the council remained relatively constant. Three relational structures - frustrated, aligned, and stifled - are identified and discussed as influencing the degree to which the council could gain leverage in Mississippi's multilevel state structure where multiple audiences mattered.",MOBILIZATION,2006,11,,,CIVIL-RIGHTS; WAR,,9,9,1,6,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,084BN,WOS:000240506700003,12,.75
"Meyer, DS","Meyer, David S.",Claiming credit: Stories of movement influence as outcomes,"Taking credit for achieving some desirable outcome is an essential element of politics, and the stakes of doing so are particularly high for social protest movements. Popular narratives of social change assign some movements a critical role for promoting change, but ignore the influence of others. Winning acceptance of a preferred narrative of influence is a neglected, but important, social movement outcome. I use disparate stories of movement success in claiming credit to underscore the analytical problem of why some challengers end up deriving credit, both in the short and long term, for their efforts, while others don't. Movement activists and their competitors offer narratives of past influence as a kind of claims-making activity to serve current political goals. In this way, the process of claiming credit is analogous to that of establishing a reputation. I examine contextual factors likely to affect why some social movements, and some social movement actors, may be better positioned or more interested, in promoting a narrative of their own influence than others. I argue that movement factions that place identifiable individuals in prominent positions in institutional politics are more likely to be able to promote their story of influence, but paradoxically this comes with a narrative that emphasizes the importance of mainstream politics. I conclude with a call for more research on the process and the outcomes of contests for credit.",MOBILIZATION,2006,11,,,NUCLEAR DISARMAMENT MOVEMENT; SOCIAL-MOVEMENT; COLD-WAR; ORGANIZATIONS; COALITIONS; ABEYANCE; MEMORY; END,,26,26,0,10,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,097OM,WOS:000241457600001,12,2.1666667
"Nam, T","Nam, Taehyun",The broken promises of democracy: Protest-repression dynamics in Korea 1990-1991,"Korean democratization began in 1988, but by the early 1990s had failed to bring tranquility to the streets or to replace protest with institutionalized political participation. Using data taken from daily Korean sources for 1990 and 1991, I analyze the intimate interaction between coercion and protest. I apply the Lotka-Volterra predator-prey model to test competing hypotheses explaining the interaction. Regarding national protests in general, the results demonstrate that protests and coercion are closely and dynamically related. Unexpectedly, results show that, overall, protests do not necessarily decrease with coercion but do when no coercion at all is applied. My analysis also uncovers variation in the dynamics of state coercion and protest according to types of dissident groups. Of the groups assessed, workers were particularly active in protest. Farmers were the least active, and the Korean regime responded with the least repressive approach toward them. These findings emphasize the importance of daily subnational data. They also show how dynamic analytical models can improve our understanding of the protest-repression relationship.",MOBILIZATION,2006,11,,,SOUTH-KOREA; CIVIL-SOCIETY; COERCION; STATES; DETERRENCE; ESCALATION; REVOLUTION; POLITICS; REGIMES; REFORM,,2,2,0,4,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,120TI,WOS:000243108500002,12,.16666667
"McCarthy, JD; McPhail, C","McCarthy, John D.; McPhail, Clark",Places of protest: The public forum in principle and practice,"Protest events occur in historical time and geographical place. In the U. S., some places are now constitutionally privileged with respect to citizen access and free assembly and speech. These venues are known as the traditional commons or the public forum. It is our contention that in recent years ( 1) these spaces have been shrinking in number, ( 2) citizens have experienced increasing difficulty in gaining unrestricted access to them, and ( 3) such venues are no longer where most people typically congregate in large numbers. Nevertheless, as we will show, when citizens gather to express dissenting views toward the government at the turn of the twentieth century they overwhelmingly choose spaces in the public forum to do so.",MOBILIZATION,2006,11,,,GATED COMMUNITIES; SPACE; AMERICA,,18,18,2,12,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,084BN,WOS:000240506700007,12,1.5
"Sutton, PW; Vertigans, S","Sutton, Philip W.; Vertigans, Stephen","Islamic ""new social movements""? Radical Islam, al-Qa'ida and social movement theory","European new social movement (NSM) theory was developed to describe and explain the apparently unique character of the wave of collective action that began in the 1960s and continues to this day. Key characteristics of NSM theory are a post-industrial orientation, middle-class activist core, loose organizational form, use of symbolic direct actions, creation of new identities, and a ""self-limiting radicalism."" The theory's claims to movement innovation were later criticized by many as exaggerated and ahistorical. However, the filtering down of key NSM elements into social movement studies has led to changing definitions of what social movements actually are and opened up new opportunities for the integration of religious movements into the social movements mainstream. Using the case of radical Islam, and with particular reference to the terrorist social movement organization al-Qa'ida, this article argues that drawing on key features of NSM theory should lead to a better understanding of radical Islam as well as a more realistic explanation of its continuing development and transformation.",MOBILIZATION,2006,11,,,MIDDLE-CLASS; TERRORISM,,20,20,4,10,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,067CB,WOS:000239277500006,12,1.6666666
"Lainer-Vos, D","Lainer-Vos, Dan","Social movemfents and citizensihp: Conscientious objection in France, the United States, and Israel","This article examines the ways in which citizenship regimes shape social struggles. It traces the conscientious objection movements in France during the war in., Algeria,. in America during the Vietnamese War, and in Israel after the invasion of Lebanon to show how they employed different practices and formed different alliances despite having similar goals. These differences can be attributed, in part, to the different citizenship regimes in each country: republican in France; liberal in the U.S.; and ethnonational in Israel. Arguments and practices that seemed sensible in one locale seemed utterly inappropriate in another. Social movements' activists did not manipulate conceptions of citizenship strategically. Rather, citizenship regimes constitute subjectivities and thereby shape the sensibilities and preferences of activists and state actors. Citizenship regimes shape social dramas by structuring the repertoire of contention available in a particular struggle.",MOBILIZATION,2006,11,,,,,5,5,0,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,097OM,WOS:000241457600005,12,.41666666
"Uggla, F","Uggla, Fredrik","Between globalism and pragmatism: ATTAC in France, Germany, and Sweden","This article tests two conflicting theoretical views on the extent to which economic and political globalization makes contentious groups and social movements more globally oriented in their strategies. It focuses on a critical case in the globalization of activism: the Attac group, which forms part of the movement for global justice. By analyzing the demands, actions, and targets present in the group's communiques in France, Germany and Sweden, the analysis yields mixed conclusions about the globalization of protest. Although the global orientation of Attac is evident in the demands contained in such statements, the group appears highly centered at the national level through its choice of targets and alliances. Furthermore, in France and Germany there is a clear trend towards a more national focus among the demands made by the group.",MOBILIZATION,2006,11,,,,,5,5,0,4,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,067CB,WOS:000239277500003,12,.41666666
"Hess, D; Martin, B","Hess, David; Martin, Brian","Repression, backfire, and the theory of transformative events","Repression sometimes can lead to greater movement mobilization: repressive events that are perceived as unjust have the potential to generate enormous public outrage against those seen as responsible. One result of repression - backfire - can contribute to the understanding of the conditions under which some repressive events may become transformative for social movements. Three case studies that highlight the processes involved in backfire are examined: the 1930 Salt March in India, in particular the beatings at Dharasana, that mobilized popular support for independence; the 1991 massacre in Dili, East Timor, which stimulated a massive expansion in international support for East Timorese independence; and the arrest of alternative cancer therapist John Richardson in 1972, which led to a huge growth in the U. S. movement for alternative therapies. The cases generate a preliminary understanding of the potential scope of backfire, the processes involved in backfire, and new hypotheses.",MOBILIZATION,2006,11,,,POLITICAL PROTEST; SOCIAL-MOVEMENTS; RIGHTS,,91,91,1,9,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,084BN,WOS:000240506700008,12,7.5833335
"McVeigh, R; Neblett, C; Shafiq, S","McVeigh, Rory; Neblett, Carl; Shafiq, Sarah",Explaining social movement outcomes: Multiorganizational fields and hate crime reporting,"Social movement organizations and nonprofit organizations can affect local communities in numerous ways, some of which are intended and some of which are unintended. Assessing the influence of these organizations is complicated because the effect that an organization has on a community depends in part on the attributes of the community in which it is embedded. This article draws attention to the importance of multiorganizational fields in determining social movement consequences through an analysis of hate crime enforcement and reporting in U. S. counties. Qualitative Comparative Analysis (QCA), in combination with more traditional statistical techniques, identifies fifteen configurations of variable attributes that almost always result in reported hate crimes. The analysis shows how measures of civil rights activism, political opportunities, grievances, and multiorganizational fields combine in local settings to produce hate crime reporting with near certainty. Results indicate that the resourcefulness, heterogeneity, and funding sources of the nonprofit sector play a key role in determining whether hate crimes are reported.",MOBILIZATION,2006,11,,,POLITICAL MEDIATION; UNITED-STATES; NONPROFIT ORGANIZATIONS; OPPORTUNITY STRUCTURES; GROUP-SIZE; PROTEST; CONSEQUENCES; MOBILIZATION; PARTICIPATION; INEQUALITY,,20,20,4,17,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,067CB,WOS:000239277500002,12,1.6666666
"Fine, GA","Fine, Gary Alan",Notorious support: The America First Committee and the personalization of policy,"In a political world characterized by social movement rivalry, advocates routinely use reputation work to discredit the motivations and character of their adversaries. Reputational entrepreneurs undercut organizational legitimacy by depicting members with disreputable or radical affiliations as representative of their opponents. These attacks on character must be countered, costing resources and limiting organizational reach. Through reputation work, advocates assert that groups they oppose have a large proportion of stigmatized supporters, are affiliated with prominent disreputable figures, and espouse policies favored by such figures. Such claims direct attention from the substance of the debate, directing attention to the moral stature of claimants. Those attacked must rely on counterstrategies to defend themselves. They deny that disreputables are representative, demonstrating their bona fides by exclusive practices, claim that opposing groups have the same problem, and suggest that stigmatized supporters are agents of their opponents. To study these reputational strategies, I examine struggles over the character of members of the America First Committee in the period immediately prior to World War II.",MOBILIZATION,2006,11,,,BOUNDARIES; MOVEMENTS; IDENTITY; GENDER; QUEER; WAR,,8,8,0,5,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,120TI,WOS:000243108500001,12,.66666669
"Biggs, M","Biggs, Michael",Who joined the sit-ins and why: Southern black students in the early 1960s,"The wave of sit-ins that swept the American South in 1960 has become a crucial episode in the literature on social movements. To investigate who joined the sit-ins and why, this article analyzes a sample survey of 255 students in Southern black colleges in 1962. The survey includes measures of integration into preexisting social networks and measures of beliefs and sentiments. Most surprisingly, students who attended church frequently were less likely to join the sit-ins, though the presence of activist ministers made protest more likely. Protesters were motivated by strong grievances, for they had an especially negative evaluation of race relations. Yet they were also motivated by optimism about the prospects of success, for they believed that there was no white majority for strict segregation. The analysis underscores the importance of beliefs and sentiments, which cannot easily be reduced to objective measures of social location.",MOBILIZATION,2006,11,,,NEGRO COLLEGE-STUDENTS; COLLECTIVE POLITICAL-ACTION; SOCIAL-MOVEMENTS; PROTEST; PARTICIPATION; RIGHTS; NETWORKS; RATIONALITY; INSPIRATION; IDENTITY,,14,14,1,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,097OM,WOS:000241457600003,12,1.1666666
